,x,y,prop
0,-10,-10,0.7597851256303614
1,-10,-9,0.7661243091139655
2,-10,-8,0.8814237159588864
3,-10,-7,0.918264712720466
4,-10,-6,0.918264712720466
5,-10,-5,0.918264712720466
6,-10,-4,0.918264712720466
7,-10,-3,0.7893251888722453
8,-10,-2,0.789128656287151
9,-10,-1,0.7937335239446819
10,-10,0,0.84940100971273
11,-10,1,0.8588004330554928
12,-10,2,0.9040720359822562
13,-10,3,0.9017065898592213
14,-10,4,0.8714906386700982
15,-10,5,0.8693996690515595
16,-10,6,0.8452642808380731
17,-10,7,0.8231798642951653
18,-10,8,0.8231798642951653
19,-10,9,0.8231798642951653
20,-10,10,0.8231798642951653
21,-9,-10,0.7597851256303614
22,-9,-9,0.9158169633546576
23,-9,-8,0.918264712720466
24,-9,-7,0.918264712720466
25,-9,-6,0.918264712720466
26,-9,-5,0.918264712720466
27,-9,-4,0.7934594793578288
28,-9,-3,0.7748833313220055
29,-9,-2,0.783358597853975
30,-9,-1,0.787431378155642
31,-9,0,0.7893251888722453
32,-9,1,0.7920206090508529
33,-9,2,0.7512190925964615
34,-9,3,0.796434708216641
35,-9,4,0.799992406568718
36,-9,5,0.802357852691753
37,-9,6,0.8474783007543487
38,-9,7,0.8408863876886208
39,-9,8,0.8231798642951653
40,-9,9,0.8231798642951653
41,-9,10,0.8231798642951653
42,-8,-10,0.7958772444300528
43,-8,-9,0.918264712720466
44,-8,-8,0.918264712720466
45,-8,-7,0.918264712720466
46,-8,-6,0.918264712720466
47,-8,-5,0.8707353074843955
48,-8,-4,0.8936106914563965
49,-8,-3,0.8883909833636241
50,-8,-2,0.8505937057994126
51,-8,-1,0.8007328422677378
52,-8,0,0.7433853512628176
53,-8,1,0.7275916325156198
54,-8,2,0.7316225770050809
55,-8,3,0.7529939147336603
56,-8,4,0.7837024566176839
57,-8,5,0.799992406568718
58,-8,6,0.8009335252622957
59,-8,7,0.8476834771216036
60,-8,8,0.8638385683897405
61,-8,9,0.8231798642951653
62,-8,10,0.8231798642951653
63,-7,-10,0.918264712720466
64,-7,-9,0.918264712720466
65,-7,-8,0.918264712720466
66,-7,-7,0.918264712720466
67,-7,-6,0.8386962336320611
68,-7,-5,0.8947718752907136
69,-7,-4,0.9027907867271378
70,-7,-3,0.9073808343625084
71,-7,-2,0.9064736738796833
72,-7,-1,0.8712060424515942
73,-7,0,0.8518813092464427
74,-7,1,0.8150524377209873
75,-7,2,0.7119315974497126
76,-7,3,0.6972000488395304
77,-7,4,0.6824685002293482
78,-7,5,0.6888799015479221
79,-7,6,0.799992406568718
80,-7,7,0.799992406568718
81,-7,8,0.9123771374829042
82,-7,9,0.9160966096723882
83,-7,10,0.8268965341102542
84,-6,-10,0.918264712720466
85,-6,-9,0.918264712720466
86,-6,-8,0.918264712720466
87,-6,-7,0.7801105995675836
88,-6,-6,0.8116660566846522
89,-6,-5,0.8969224290566253
90,-6,-4,0.9099998300883544
91,-6,-3,0.911970881997879
92,-6,-2,0.911970881997879
93,-6,-1,0.9027907867271378
94,-6,0,0.8865703884787767
95,-6,1,0.8601542440343589
96,-6,2,0.8495727392411859
97,-6,3,0.7776600785605581
98,-6,4,0.6841690718968775
99,-6,5,0.6824685002293482
100,-6,6,0.7219254236051195
101,-6,7,0.8190678024512998
102,-6,8,0.8018746439558733
103,-6,9,0.9160966096723882
104,-6,10,0.9160966096723882
105,-5,-10,0.8985861467680023
106,-5,-9,0.908488615951732
107,-5,-8,0.7609831531974544
108,-5,-7,0.7687808612394175
109,-5,-6,0.7851651274783719
110,-5,-5,0.868630171161815
111,-5,-4,0.8914544438280784
112,-5,-3,0.911970881997879
113,-5,-2,0.9061474193594428
114,-5,-1,0.9073808343625084
115,-5,0,0.9107374669948132
116,-5,1,0.877586996319655
117,-5,2,0.8616694633258706
118,-5,3,0.8348487942733676
119,-5,4,0.7255966751689704
120,-5,5,0.6778517793105592
121,-5,6,0.679609802757285
122,-5,7,0.8639703477578962
123,-5,8,0.7917829394139189
124,-5,9,0.8714261236178692
125,-5,10,0.9160966096723882
126,-4,-10,0.8299243878413197
127,-4,-9,0.756778698190472
128,-4,-8,0.7749286432126017
129,-4,-7,0.7838480064925563
130,-4,-6,0.7785135880878056
131,-4,-5,0.8216890174767483
132,-4,-4,0.8812025802715453
133,-4,-3,0.8915167464526728
134,-4,-2,0.8966237117118093
135,-4,-1,0.8961843760063283
136,-4,0,0.89922274272477
137,-4,1,0.8798209109700253
138,-4,2,0.8638142521160159
139,-4,3,0.8220388193515737
140,-4,4,0.7964148428632194
141,-4,5,0.7715705783519669
142,-4,6,0.677053225850675
143,-4,7,0.826645850306472
144,-4,8,0.873390884415571
145,-4,9,0.6881131221352947
146,-4,10,0.9112887277918112
147,-3,-10,0.7553297665749039
148,-3,-9,0.7642004538470266
149,-3,-8,0.7664843481549332
150,-3,-7,0.770092238685679
151,-3,-6,0.8067454556665193
152,-3,-5,0.801021800202907
153,-3,-4,0.8105366162023823
154,-3,-3,0.8240065971055303
155,-3,-2,0.8466290046120922
156,-3,-1,0.8429150141383048
157,-3,0,0.8475902874694381
158,-3,1,0.8474193125960112
